#,id,partner,kod_kraju,roznica
1,44006,kiribati,NO,1200
2,53532,kiribati,NO,600
3,2000431,kiribati,PL,600
4,2004533,kiribati,PL,600
5,40029,tui,ZZ,2400
6,56248,tui,DE,900
7,39092,tui,SE,900
8,53555,tui,ZZ,600
9,2073350,,PL,1200
10,2094338,,PL,1200
11,2101137,,PL,1200
12,33297,,DK,1200
13,2073557,,PL,1200
14,2101190,,PL,1200
15,2099927,,PL,1200
16,2113379,,IE,1101.98
17,2063709,,PL,1100
18,2107041,,ZZ,1100
19,2106980,,PL,1050
20,2001986,,PL,1000
21,54796,,ZZ,900
22,2073545,,PL,800
23,2073186,,PL,800
24,2107008,,PL,800
25,56217,,PL,750
26,55317,,PT,750
27,55320,,DK,750
28,2037161,,PL,750
29,2108726,,ZZ,750
30,2005700,,IE,745
31,2107007,,ZZ,722
32,2061674,,PL,700
33,49967,,JP,700
34,2104784,,ZZ,700
35,45096,,SE,678
36,2108065,,ZZ,650
37,55774,,US,600
38,29393,,GB,600
39,2006345,,GB,600
40,2004805,,PL,600
41,36067,,DK,600
42,55103,,DK,3000
43,55316,,DK,600
44,2005089,,PL,2400
45,35905,,DK,2100
46,2158150,,ZZ,1888
47,2151403,,DE,1800
48,16139,,PT,1600
49,2037162,,PL,1500
50,56215,,PL,1200
